date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:33:10	100175/100175	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Mar%202019%2002:34:59%20GMT	https://www.gmanzola.fr/assets/images/altimachr-2.png	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/images/altimachr-2.png	(from https://www.gmanzola.fr/)
13:33:11	140813/140813	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2013:47:34%20GMT	https://www.gmanzola.fr/assets/images/urbanmarginal.png	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/images/urbanmarginal.png	(from https://www.gmanzola.fr/)
13:33:11	58205/58205	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2002:59:07%20GMT	https://www.gmanzola.fr/assets/images/gsbfrais.png	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/images/gsbfrais.png	(from https://www.gmanzola.fr/)
13:33:11	111518/111518	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2011:50:07%20GMT	https://www.gmanzola.fr/assets/images/franceagrimer.png	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/images/franceagrimer.png	(from https://www.gmanzola.fr/)
13:33:12	95785/95785	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202019%2001:19:03%20GMT	https://www.gmanzola.fr/assets/js/jquery-1.11.1.min.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/jquery-1.11.1.min.js	(from https://www.gmanzola.fr/)
13:33:12	37045/37045	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202019%2001:19:09%20GMT	https://www.gmanzola.fr/assets/bootstrap/js/bootstrap.min.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/bootstrap/js/bootstrap.min.js	(from https://www.gmanzola.fr/)
13:33:13	20948/20948	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Apr%202019%2013:54:19%20GMT	https://www.gmanzola.fr/assets/js/jquery.magnific-popup.min.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/jquery.magnific-popup.min.js	(from https://www.gmanzola.fr/)
13:33:13	1754/1754	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Mar%202019%2016:25:44%20GMT	https://www.gmanzola.fr/assets/js/jquery.parallax-1.1.3.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/jquery.parallax-1.1.3.js	(from https://www.gmanzola.fr/)
13:33:14	22440/22440	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202019%2001:19:03%20GMT	https://www.gmanzola.fr/assets/js/imagesloaded.pkgd.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/imagesloaded.pkgd.js	(from https://www.gmanzola.fr/)
13:33:14	14193/14193	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202019%2001:19:04%20GMT	https://www.gmanzola.fr/assets/js/jquery.shuffle.min.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/jquery.shuffle.min.js	(from https://www.gmanzola.fr/)
13:33:15	23890/23890	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202019%2001:19:04%20GMT	https://www.gmanzola.fr/assets/js/owl.carousel.min.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/owl.carousel.min.js	(from https://www.gmanzola.fr/)
13:33:16	5652/5652	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202019%2001:19:04%20GMT	https://www.gmanzola.fr/assets/js/jquery.sticky.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/jquery.sticky.js	(from https://www.gmanzola.fr/)
13:33:16	7374/7374	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202019%2001:19:04%20GMT	https://www.gmanzola.fr/assets/js/smoothscroll.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/smoothscroll.js	(from https://www.gmanzola.fr/)
13:33:17	4776/4776	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202019%2001:19:04%20GMT	https://www.gmanzola.fr/assets/js/wow.min.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/wow.min.js	(from https://www.gmanzola.fr/)
13:33:18	16307/16307	---M-Z	200	added ('OK')	application/javascript	etag:W/%223fb3-RncTVa92sNxYK2jBBiH+JCNJPtI%22	https://cdn.jsdelivr.net/npm/typeit@6.0.2/dist/typeit.min.js	C:/Mes%20Sites%20Web/mand/cdn.jsdelivr.net/npm/typeit@6.0.2/dist/typeit.min.js	(from https://www.gmanzola.fr/)
13:33:19	7016/7016	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b6c860b-1b68%22	https://cdnjs.cloudflare.com/ajax/libs/particlesjs/2.2.3/particles.min.js	C:/Mes%20Sites%20Web/mand/cdnjs.cloudflare.com/ajax/libs/particlesjs/2.2.3/particles.min.js	(from https://www.gmanzola.fr/)
13:33:19	657/657	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202019%2001:19:04%20GMT	https://www.gmanzola.fr/assets/js/particles.app.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/particles.app.js	(from https://www.gmanzola.fr/)
13:33:20	5744/5744	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2021%20Mar%202019%2012:32:33%20GMT	https://www.gmanzola.fr/assets/js/custom.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/custom.js	(from https://www.gmanzola.fr/)
13:33:20	632/632	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202019%2001:19:03%20GMT	https://www.gmanzola.fr/assets/js/custom-shuffle-init.js	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/js/custom-shuffle-init.js	(from https://www.gmanzola.fr/)
13:33:21	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20May%202020%2011:33:22%20GMT	https://www.gmanzola.fr/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	(from https://www.gmanzola.fr/assets/bootstrap/css/bootstrap.min.css)
13:33:22	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20May%202020%2011:33:23%20GMT	https://www.gmanzola.fr/assets/bootstrap/fonts/glyphicons-halflings-regulard41d.eot?	C:/Mes%20Sites%20Web/mand/www.gmanzola.fr/assets/bootstrap/fonts/glyphicons-halflings-regulard41dd41d.eot	(from https://www.gmanzola.fr/assets/bootstrap/css/bootstrap.min.css)
